"trial","ref_position","var_area","response","correct","rt"
1,"L",14.4473813723307,"R",TRUE,2.27300000190735
2,"L",9.64426736813039,"R",TRUE,2.06899976730347
3,"L",14.7167715702672,"R",TRUE,1.75300002098083
4,"R",9.71520816721022,"L",TRUE,2.06100010871887
5,"L",11.430367741501,"R",TRUE,1.75799989700317
6,"R",8.538497738773,"R",TRUE,1.84100008010864
7,"R",9.97137712081894,"L",TRUE,2.06700015068054
8,"R",14.7326861629263,"L",TRUE,2.15799999237061
9,"R",12.5138248354197,"L",TRUE,1.7810001373291
10,"R",8.37157680327073,"R",TRUE,2.47099995613098
11,"L",10.018694043858,"R",TRUE,2.37199997901917
12,"L",10.7440195463132,"R",TRUE,1.76100015640259
13,"L",12.0328704374842,"L",FALSE,1.15599989891052
14,"R",11.4430816620588,"L",TRUE,2.46200013160706
15,"L",10.9901705679949,"R",TRUE,1.76200008392334
16,"R",8.11674335226417,"R",TRUE,1.7590000629425
17,"R",14.1521176344249,"L",TRUE,1.56299996376038
18,"R",8.02147495094687,"R",TRUE,1.64599990844727
19,"L",10.2633440601639,"R",TRUE,1.97199988365173
20,"R",8.12264587706886,"R",TRUE,1.66799998283386
21,"L",14.7442729983013,"R",TRUE,2.06099987030029
